Date,TSLA,NVDA,META
2024-03-19,171.32,89.36,494.06
2024-03-20,175.66,90.34,503.3
2024-03-21,172.82,91.4,505.53
2024-03-22,170.83,94.25,507.34
2024-03-23,,,
2024-03-24,,,
2024-03-25,172.63,94.96,500.81
2024-03-26,177.67,92.52,493.71
2024-03-27,179.83,90.21,491.69
2024-03-28,175.79,90.32,483.44
2024-03-29,,,
2024-03-30,,,
2024-03-31,,,
2024-04-01,175.22,90.33,489.19
2024-04-02,166.63,89.42,495.18
2024-04-03,168.38,88.93,504.51
2024-04-04,171.11,85.87,508.67
2024-04-05,164.9,87.97,525.02
2024-04-06,,,
2024-04-07,,,
2024-04-08,172.98,87.1,516.96
2024-04-09,176.88,85.32,514.63
2024-04-10,171.76,87.0,517.54
2024-04-11,174.6,90.58,520.86
2024-04-12,171.05,88.15,509.65
2024-04-13,,,
2024-04-14,,,
2024-04-15,161.48,85.97,498.03
2024-04-16,157.11,87.38,497.56
2024-04-17,155.45,84.0,492.0
2024-04-18,149.93,84.64,499.59
2024-04-19,147.05,76.17,478.95
2024-04-20,,,
2024-04-21,,,
2024-04-22,142.05,79.49,479.61
2024-04-23,144.68,82.39,493.92
2024-04-24,162.13,79.65,491.33
2024-04-25,170.18,82.6,439.44
2024-04-26,168.29,87.7,441.34
2024-04-27,,,
2024-04-28,,,
2024-04-29,194.05,87.72,430.72
2024-04-30,183.28,86.37,428.28
2024-05-01,179.99,83.01,437.26
2024-05-02,180.01,85.78,439.74
2024-05-03,181.19,88.75,449.97
2024-05-04,,,
2024-05-05,,,
2024-05-06,184.76,92.1,463.63
2024-05-07,177.81,90.52,466.18
2024-05-08,174.72,90.38,470.52
2024-05-09,171.97,88.71,473.33
2024-05-10,168.47,89.84,474.1
2024-05-11,,,
2024-05-12,,,
2024-05-13,171.89,90.36,465.95
2024-05-14,177.55,91.32,469.77
2024-05-15,173.99,94.59,479.42
2024-05-16,174.84,94.32,471.15
2024-05-17,177.46,92.44,469.83
2024-05-18,,,
2024-05-19,,,
2024-05-20,174.95,94.74,466.78
2024-05-21,186.6,95.35,462.59
2024-05-22,180.11,94.91,465.72
2024-05-23,173.74,103.76,463.73
2024-05-24,179.24,106.43,476.12
2024-05-25,,,
2024-05-26,,,
2024-05-27,,,
2024-05-28,176.75,113.86,477.81
2024-05-29,176.19,114.78,472.27
2024-05-30,178.79,110.46,464.99
2024-05-31,178.08,109.59,464.78
2024-06-01,,,
2024-06-02,,,
2024-06-03,176.29,114.95,475.39
2024-06-04,174.77,116.39,474.89
2024-06-05,175.0,122.39,492.88
2024-06-06,177.94,120.95,491.59
2024-06-07,177.48,120.84,490.79
2024-06-08,,,
2024-06-09,,,
2024-06-10,173.79,121.74,500.39
2024-06-11,170.66,120.87,505.24
2024-06-12,177.29,125.16,506.6
2024-06-13,182.47,129.57,501.88
2024-06-14,178.01,131.84,502.44
2024-06-15,,,
2024-06-16,,,
2024-06-17,187.44,130.94,504.9
2024-06-18,184.86,135.54,497.79
2024-06-19,,,
2024-06-20,181.57,130.74,499.99
2024-06-21,183.01,126.53,493.09
2024-06-22,,,
2024-06-23,,,
2024-06-24,182.58,118.07,497.21
2024-06-25,187.35,126.05,508.86
2024-06-26,196.37,126.36,511.37
2024-06-27,197.42,123.95,517.79
2024-06-28,197.88,123.5,502.5
2024-06-29,,,
2024-06-30,,,
2024-07-01,209.86,124.26,502.96
2024-07-02,231.26,122.63,507.76
2024-07-03,246.39,128.24,508.22
2024-07-04,,,
2024-07-05,251.52,125.79,538.07
2024-07-06,,,
2024-07-07,,,
2024-07-08,252.94,128.16,527.51
2024-07-09,262.33,131.34,528.19
2024-07-10,263.26,134.87,532.87
2024-07-11,241.03,127.36,510.95
2024-07-12,248.23,129.2,497.17
2024-07-13,,,
2024-07-14,,,
2024-07-15,252.64,128.4,494.47
2024-07-16,256.56,126.32,488.12
2024-07-17,248.5,117.95,460.41
2024-07-18,249.23,121.05,474.23
2024-07-19,239.2,117.89,475.16
2024-07-20,,,
2024-07-21,,,
2024-07-22,251.51,123.5,485.74
2024-07-23,246.38,122.55,487.02
2024-07-24,215.99,114.21,459.7
2024-07-25,220.25,112.24,451.86
2024-07-26,219.8,113.02,464.11
2024-07-27,,,
2024-07-28,,,
2024-07-29,232.1,111.55,464.12
2024-07-30,222.62,103.7,461.61
2024-07-31,232.07,116.98,473.21
2024-08-01,216.86,109.18,496.04
2024-08-02,207.67,107.24,486.47
2024-08-03,,,
2024-08-04,,,
2024-08-05,198.88,100.42,474.11
2024-08-06,200.64,104.22,492.4
2024-08-07,191.76,98.88,487.25
2024-08-08,198.84,104.94,507.89
2024-08-09,200.0,104.72,516.0
2024-08-10,,,
2024-08-11,,,
2024-08-12,197.49,108.99,514.19
2024-08-13,207.83,116.1,526.74
2024-08-14,201.38,118.04,524.96
2024-08-15,214.14,122.82,535.5
2024-08-16,216.12,124.54,525.62
2024-08-17,,,
2024-08-18,,,
2024-08-19,222.72,129.96,527.47
2024-08-20,221.1,127.21,524.93
2024-08-21,223.27,128.46,533.33
2024-08-22,210.66,123.7,530.11
2024-08-23,220.32,129.33,526.2
2024-08-24,,,
2024-08-25,,,
2024-08-26,213.21,126.42,519.34
2024-08-27,209.21,128.26,517.33
2024-08-28,205.75,125.57,515.02
2024-08-29,206.28,117.55,516.45
2024-08-30,214.11,119.33,519.53
2024-08-31,,,
2024-09-01,,,
2024-09-02,,,
2024-09-03,210.6,107.97,510.01
2024-09-04,219.41,106.18,510.99
2024-09-05,230.17,107.18,515.1
2024-09-06,210.73,102.8,498.56
2024-09-07,,,
2024-09-08,,,
2024-09-09,216.27,106.44,503.07
2024-09-10,226.17,108.07,503.07
2024-09-11,228.13,116.87,510.08
2024-09-12,229.81,119.11,523.81
2024-09-13,230.29,119.07,522.83
2024-09-14,,,
2024-09-15,,,
2024-09-16,226.78,116.75,531.97
2024-09-17,227.87,115.56,535.0
2024-09-18,227.2,113.34,536.63
2024-09-19,243.92,117.84,557.72
2024-09-20,238.25,115.97,559.97
2024-09-21,,,
2024-09-22,,,
2024-09-23,250.0,116.23,563.02
2024-09-24,254.27,120.84,561.94
2024-09-25,257.02,123.48,566.91
2024-09-26,254.22,124.01,566.44
2024-09-27,260.46,121.37,565.96
2024-09-28,,,
2024-09-29,,,
2024-09-30,261.63,121.41,571.03
2024-10-01,258.02,116.97,575.05
2024-10-02,249.02,118.82,571.4
2024-10-03,240.66,122.82,581.34
2024-10-04,250.08,124.89,594.47
2024-10-05,,,
2024-10-06,,,
2024-10-07,240.83,127.69,583.34
2024-10-08,244.5,132.86,591.43
2024-10-09,241.05,132.62,589.06
2024-10-10,238.77,134.78,582.39
2024-10-11,217.8,134.77,588.5
2024-10-12,,,
2024-10-13,,,
2024-10-14,219.16,138.04,588.97
2024-10-15,219.57,131.57,584.83
2024-10-16,221.33,135.69,575.37
2024-10-17,220.89,136.9,575.51
2024-10-18,220.7,137.97,575.05
2024-10-19,,,
2024-10-20,,,
2024-10-21,218.85,143.68,573.74
2024-10-22,217.97,143.56,580.58
2024-10-23,213.65,139.53,562.3
2024-10-24,260.48,140.38,566.38
2024-10-25,269.19,141.51,571.84
2024-10-26,,,
2024-10-27,,,
2024-10-28,262.51,140.49,576.74
2024-10-29,259.52,141.22,591.82
2024-10-30,257.55,139.31,590.34
2024-10-31,249.85,132.73,566.18
2024-11-01,248.98,135.37,565.76
2024-11-02,,,
2024-11-03,,,
2024-11-04,242.84,136.02,559.3
2024-11-05,251.44,139.88,571.02
2024-11-06,288.53,145.58,570.64
2024-11-07,296.91,148.85,590.24
2024-11-08,321.22,147.6,587.89
2024-11-09,,,
2024-11-10,,,
2024-11-11,350.0,145.23,581.73
2024-11-12,328.49,148.26,583.38
2024-11-13,330.24,146.24,578.57
2024-11-14,311.18,146.73,575.74
2024-11-15,320.72,141.95,552.72
2024-11-16,,,
2024-11-17,,,
2024-11-18,338.74,140.12,553.04
2024-11-19,346.0,146.98,559.71
2024-11-20,342.03,145.86,564.13
2024-11-21,339.64,146.64,561.7
2024-11-22,352.56,141.92,557.76
2024-11-23,,,
2024-11-24,,,
2024-11-25,338.59,135.99,563.72
2024-11-26,338.23,136.89,572.13
2024-11-27,332.89,135.31,567.8
2024-11-28,,,
2024-11-29,345.16,138.22,572.91
2024-11-30,,,
2024-12-01,,,
2024-12-02,357.09,138.6,591.37
2024-12-03,351.42,140.23,612.14
2024-12-04,357.93,145.11,612.27
2024-12-05,369.49,145.04,607.43
2024-12-06,389.22,142.42,622.23
2024-12-07,,,
2024-12-08,,,
2024-12-09,389.79,138.79,612.06
2024-12-10,400.99,135.05,617.8
2024-12-11,424.77,139.29,631.12
2024-12-12,418.1,137.32,629.24
2024-12-13,436.23,134.23,618.82
2024-12-14,,,
2024-12-15,,,
2024-12-16,463.02,131.98,623.21
2024-12-17,479.86,130.37,618.41
2024-12-18,440.13,128.89,596.2
2024-12-19,436.17,130.66,594.58
2024-12-20,421.06,134.68,584.28
2024-12-21,,,
2024-12-22,,,
2024-12-23,430.6,139.65,598.86
2024-12-24,462.28,140.2,606.74
2024-12-25,,,
2024-12-26,454.13,139.91,602.35
2024-12-27,431.66,136.99,598.82
2024-12-28,,,
2024-12-29,,,
2024-12-30,417.41,137.47,590.26
2024-12-31,403.84,134.27,584.54
2025-01-01,,,
2025-01-02,379.28,138.29,598.25
2025-01-03,410.44,144.45,603.63
2025-01-04,,,
2025-01-05,,,
2025-01-06,411.05,149.41,629.16
2025-01-07,394.36,140.12,616.87
2025-01-08,394.94,140.09,609.71
2025-01-09,,,
2025-01-10,394.74,135.89,614.84
2025-01-11,,,
2025-01-12,,,
2025-01-13,403.31,133.21,607.32
2025-01-14,396.36,131.74,593.27
2025-01-15,428.22,136.22,616.1
2025-01-16,413.82,133.55,610.29
2025-01-17,426.5,137.69,611.75
2025-01-18,,,
2025-01-19,,,
2025-01-20,,,
2025-01-21,424.07,140.81,615.44
2025-01-22,415.11,147.05,622.47
2025-01-23,412.38,147.2,635.4
2025-01-24,406.58,142.6,646.42
2025-01-25,,,
2025-01-26,,,
2025-01-27,397.15,118.4,658.79
2025-01-28,398.09,128.97,673.21
2025-01-29,389.1,123.68,675.37
2025-01-30,400.28,124.63,685.86
2025-01-31,404.6,120.05,688.04
2025-02-01,,,
2025-02-02,,,
2025-02-03,383.68,116.64,696.3
2025-02-04,392.21,118.63,703.02
2025-02-05,378.17,124.81,703.7
2025-02-06,374.32,128.66,710.81
2025-02-07,361.62,129.82,713.34
2025-02-08,,,
2025-02-09,,,
2025-02-10,350.73,133.55,716.21
2025-02-11,328.5,132.78,718.61
2025-02-12,336.51,131.12,724.18
2025-02-13,355.94,135.27,727.35
2025-02-14,355.84,138.83,735.45
2025-02-15,,,
2025-02-16,,,
2025-02-17,,,
2025-02-18,354.11,139.38,715.18
2025-02-19,360.56,139.21,702.6
2025-02-20,354.4,140.09,693.69
2025-02-21,337.8,134.41,682.42
2025-02-22,,,
2025-02-23,,,
2025-02-24,330.53,130.26,667.02
2025-02-25,302.8,126.61,656.41
2025-02-26,290.8,131.26,672.58
2025-02-27,281.95,120.13,657.15
2025-02-28,292.98,124.9,667.09
2025-03-01,,,
2025-03-02,,,
2025-03-03,284.65,114.04,653.96
2025-03-04,272.04,115.97,638.94
2025-03-05,279.1,117.28,655.38
2025-03-06,263.45,110.55,626.89
2025-03-07,262.67,112.67,624.62
2025-03-08,,,
2025-03-09,,,
2025-03-10,222.15,106.96,597.0
2025-03-11,230.58,108.74,604.71
2025-03-12,248.09,115.73,618.53
2025-03-13,240.68,115.57,589.66
2025-03-14,249.98,121.66,607.13
2025-03-15,,,
2025-03-16,,,
2025-03-17,238.01,119.52,604.43
2025-03-18,225.31,115.42,581.91
2025-03-19,235.86,117.51,583.61
2025-03-20,236.26,118.52,585.55
2025-03-21,248.71,117.69,595.79
2025-03-22,,,
2025-03-23,,,
2025-03-24,278.39,121.4,618.37
2025-03-25,288.14,120.68,625.83
2025-03-26,272.06,113.75,610.51
2025-03-27,273.13,111.42,602.12
2025-03-28,263.55,109.66,576.3
2025-03-29,,,
2025-03-30,,,
2025-03-31,259.16,108.37,575.92
2025-04-01,268.46,110.14,585.55
2025-04-02,282.76,110.41,583.48
2025-04-03,267.28,101.79,531.21
2025-04-04,239.43,94.3,504.34
2025-04-05,,,
2025-04-06,,,
2025-04-07,233.29,97.63,515.85
2025-04-08,221.86,96.29,510.06
2025-04-09,272.2,114.32,585.32
2025-04-10,252.4,107.56,545.87
2025-04-11,252.31,110.92,543.15
2025-04-12,,,
2025-04-13,,,
2025-04-14,252.35,110.7,531.07
2025-04-15,254.11,112.19,521.12
2025-04-16,241.55,104.48,501.92
2025-04-17,241.37,101.48,501.09
2025-04-18,,,
2025-04-19,,,
2025-04-20,,,
2025-04-21,227.5,96.9,484.29
2025-04-22,237.97,98.88,499.9
2025-04-23,250.74,102.7,519.87
2025-04-24,259.51,106.42,532.74
2025-04-25,284.95,111.0,546.85
2025-04-26,,,
2025-04-27,,,
2025-04-28,285.88,108.72,549.32
2025-04-29,292.03,109.01,554.01
2025-04-30,282.16,108.91,548.58
2025-05-01,280.52,111.6,571.77
2025-05-02,287.21,114.49,596.56
2025-05-03,,,
2025-05-04,,,
2025-05-05,280.26,113.81,598.81
2025-05-06,275.35,113.53,586.86
2025-05-07,276.22,117.05,596.35
2025-05-08,284.82,117.36,597.55
2025-05-09,298.26,116.64,592.03
2025-05-10,,,
2025-05-11,,,
2025-05-12,318.38,122.99,638.94
2025-05-13,334.07,129.92,655.53
2025-05-14,347.68,135.33,658.85
2025-05-15,342.82,134.82,643.38
2025-05-16,349.98,135.39,639.85
2025-05-17,,,
2025-05-18,,,
2025-05-19,342.09,135.56,639.94
2025-05-20,343.82,134.37,636.61
2025-05-21,334.62,131.79,635.01
2025-05-22,341.04,132.82,636.08
2025-05-23,339.34,131.28,626.58
2025-05-24,,,
2025-05-25,,,
2025-05-26,,,
2025-05-27,362.89,135.49,641.83
2025-05-28,356.9,134.8,643.09
2025-05-29,358.43,139.18,644.55
2025-05-30,346.46,135.12,646.99
2025-05-31,,,
2025-06-01,,,
2025-06-02,342.69,137.37,670.38
2025-06-03,344.27,141.21,666.34
2025-06-04,332.05,141.91,687.42
2025-06-05,284.7,139.98,684.09
2025-06-06,295.14,141.71,697.17
2025-06-07,,,
2025-06-08,,,
2025-06-09,308.58,142.62,693.53
2025-06-10,326.09,143.95,701.86
2025-06-11,326.43,142.83,693.61
2025-06-12,319.11,145.0,692.83
2025-06-13,325.31,141.97,682.34
2025-06-14,,,
2025-06-15,,,
2025-06-16,329.13,144.69,702.12
2025-06-17,316.35,144.12,697.23
2025-06-18,322.05,145.48,695.77
2025-06-19,,,
2025-06-20,322.16,143.85,682.35
2025-06-21,,,
2025-06-22,,,
2025-06-23,348.68,144.17,698.53
2025-06-24,340.47,147.9,712.2
2025-06-25,327.55,154.31,708.68
2025-06-26,325.78,155.02,726.09
2025-06-27,323.63,157.75,733.63
2025-06-28,,,
2025-06-29,,,
2025-06-30,317.66,157.99,738.09
2025-07-01,300.71,153.3,719.22
2025-07-02,315.65,157.25,713.57
2025-07-03,315.35,159.34,719.01
2025-07-04,,,
2025-07-05,,,
2025-07-06,,,
2025-07-07,293.94,158.24,718.35
2025-07-08,297.81,160.0,720.67
2025-07-09,295.88,162.88,732.78
2025-07-10,309.87,164.1,727.24
2025-07-11,313.51,164.92,717.51
2025-07-12,,,
2025-07-13,,,
2025-07-14,316.9,164.07,720.92
2025-07-15,310.78,170.7,710.39
2025-07-16,321.67,171.37,702.91
2025-07-17,319.41,173.0,701.41
2025-07-18,329.65,172.41,704.28
2025-07-19,,,
2025-07-20,,,
2025-07-21,328.49,171.38,712.97
2025-07-22,332.11,167.03,704.81
2025-07-23,332.56,170.78,713.58
2025-07-24,305.3,173.74,714.8
2025-07-25,316.06,173.5,712.68
2025-07-26,,,
2025-07-27,,,
2025-07-28,325.59,176.75,717.63
2025-07-29,323.58,175.51,700.0
