Date,AAPL
2022-07-14,146.13
2022-07-15,147.8
2022-07-16,
2022-07-17,
2022-07-18,144.75
2022-07-19,148.62
2022-07-20,150.62
2022-07-21,152.9
2022-07-22,151.66
2022-07-23,
2022-07-24,
2022-07-25,150.53
2022-07-26,149.21
2022-07-27,154.31
2022-07-28,154.87
2022-07-29,159.94
2022-07-30,
2022-07-31,
2022-08-01,158.96
2022-08-02,157.48
2022-08-03,163.51
2022-08-04,163.19
2022-08-05,162.97
2022-08-06,
2022-08-07,
2022-08-08,162.49
2022-08-09,162.54
2022-08-10,166.8
2022-08-11,166.06
2022-08-12,169.62
2022-08-13,
2022-08-14,
2022-08-15,170.69
2022-08-16,170.53
2022-08-17,172.03
2022-08-18,171.64
2022-08-19,169.05
2022-08-20,
2022-08-21,
2022-08-22,165.15
2022-08-23,164.82
2022-08-24,165.11
2022-08-25,167.58
2022-08-26,161.26
2022-08-27,
2022-08-28,
2022-08-29,159.05
2022-08-30,156.62
2022-08-31,154.95
2022-09-01,155.68
2022-09-02,153.56
2022-09-03,
2022-09-04,
2022-09-05,
2022-09-06,152.3
2022-09-07,153.71
2022-09-08,152.23
2022-09-09,155.1
2022-09-10,
2022-09-11,
2022-09-12,161.07
2022-09-13,151.62
2022-09-14,153.07
2022-09-15,150.17
2022-09-16,148.53
2022-09-17,
2022-09-18,
2022-09-19,152.25
2022-09-20,154.64
2022-09-21,151.5
2022-09-22,150.54
2022-09-23,148.26
2022-09-24,
2022-09-25,
2022-09-26,148.6
2022-09-27,149.57
2022-09-28,147.68
2022-09-29,140.43
2022-09-30,136.21
2022-10-01,
2022-10-02,
2022-10-03,140.4
2022-10-04,143.99
2022-10-05,144.29
2022-10-06,143.33
2022-10-07,138.07
2022-10-08,
2022-10-09,
2022-10-10,138.39
2022-10-11,136.98
2022-10-12,136.34
2022-10-13,140.93
2022-10-14,136.38
2022-10-15,
2022-10-16,
2022-10-17,140.36
2022-10-18,141.68
2022-10-19,141.79
2022-10-20,141.32
2022-10-21,145.15
2022-10-22,
2022-10-23,
2022-10-24,147.29
2022-10-25,150.14
2022-10-26,147.2
2022-10-27,142.71
2022-10-28,153.49
2022-10-29,
2022-10-30,
2022-10-31,151.13
2022-11-01,148.48
2022-11-02,142.94
2022-11-03,136.88
2022-11-04,136.61
2022-11-05,
2022-11-06,
2022-11-07,137.14
2022-11-08,137.72
2022-11-09,133.15
2022-11-10,144.99
2022-11-11,147.79
2022-11-12,
2022-11-13,
2022-11-14,146.38
2022-11-15,148.12
2022-11-16,146.89
2022-11-17,148.79
2022-11-18,149.36
2022-11-19,
2022-11-20,
2022-11-21,146.12
2022-11-22,148.26
2022-11-23,149.14
2022-11-24,
2022-11-25,146.22
2022-11-26,
2022-11-27,
2022-11-28,142.38
2022-11-29,139.36
2022-11-30,146.14
2022-12-01,146.41
2022-12-02,145.92
2022-12-03,
2022-12-04,
2022-12-05,144.75
2022-12-06,141.08
2022-12-07,139.14
2022-12-08,140.83
2022-12-09,140.34
2022-12-10,
2022-12-11,
2022-12-12,142.64
2022-12-13,143.61
2022-12-14,141.38
2022-12-15,134.75
2022-12-16,132.79
2022-12-17,
2022-12-18,
2022-12-19,130.68
2022-12-20,130.61
2022-12-21,133.72
2022-12-22,130.54
2022-12-23,130.17
2022-12-24,
2022-12-25,
2022-12-26,
2022-12-27,128.37
2022-12-28,124.43
2022-12-29,127.95
2022-12-30,128.27
2022-12-31,
2023-01-01,
2023-01-02,
2023-01-03,123.47
2023-01-04,124.74
2023-01-05,123.42
2023-01-06,127.96
2023-01-07,
2023-01-08,
2023-01-09,128.49
2023-01-10,129.06
2023-01-11,131.78
2023-01-12,131.7
2023-01-13,133.04
2023-01-14,
2023-01-15,
2023-01-16,
2023-01-17,134.2
2023-01-18,133.48
2023-01-19,133.54
2023-01-20,136.11
2023-01-21,
2023-01-22,
2023-01-23,139.31
2023-01-24,140.71
2023-01-25,140.05
2023-01-26,142.12
2023-01-27,144.06
2023-01-28,
2023-01-29,
2023-01-30,141.17
2023-01-31,142.44
2023-02-01,143.57
2023-02-02,148.89
2023-02-03,152.52
2023-02-04,
2023-02-05,
2023-02-06,149.79
2023-02-07,152.67
2023-02-08,149.98
2023-02-09,148.94
2023-02-10,149.31
2023-02-11,
2023-02-12,
2023-02-13,152.11
2023-02-14,151.47
2023-02-15,153.58
2023-02-16,151.98
2023-02-17,150.83
2023-02-18,
2023-02-19,
2023-02-20,
2023-02-21,146.81
2023-02-22,147.23
2023-02-23,147.71
2023-02-24,145.06
2023-02-25,
2023-02-26,
2023-02-27,146.25
2023-02-28,145.75
2023-03-01,143.67
2023-03-02,144.26
2023-03-03,149.33
2023-03-04,
2023-03-05,
2023-03-06,152.09
2023-03-07,149.89
2023-03-08,151.15
2023-03-09,148.89
2023-03-10,146.82
2023-03-11,
2023-03-12,
2023-03-13,148.77
2023-03-14,150.87
2023-03-15,151.26
2023-03-16,154.09
2023-03-17,153.25
2023-03-18,
2023-03-19,
2023-03-20,155.62
2023-03-21,157.48
2023-03-22,156.05
2023-03-23,157.14
2023-03-24,158.44
2023-03-25,
2023-03-26,
2023-03-27,156.49
2023-03-28,155.87
2023-03-29,158.96
2023-03-30,160.53
2023-03-31,163.04
2023-04-01,
2023-04-02,
2023-04-03,164.3
2023-04-04,163.76
2023-04-05,161.91
2023-04-06,162.8
2023-04-07,
2023-04-08,
2023-04-09,
2023-04-10,160.2
2023-04-11,158.99
2023-04-12,158.29
2023-04-13,163.69
2023-04-14,163.35
2023-04-15,
2023-04-16,
2023-04-17,163.37
2023-04-18,164.59
2023-04-19,165.74
2023-04-20,164.77
2023-04-21,163.16
2023-04-22,
2023-04-23,
2023-04-24,163.46
2023-04-25,161.92
2023-04-26,161.91
2023-04-27,166.51
2023-04-28,167.77
2023-04-29,
2023-04-30,
2023-05-01,167.68
2023-05-02,166.64
2023-05-03,165.56
2023-05-04,163.92
2023-05-05,171.61
2023-05-06,
2023-05-07,
2023-05-08,171.54
2023-05-09,169.83
2023-05-10,171.6
2023-05-11,171.79
2023-05-12,170.86
2023-05-13,
2023-05-14,
2023-05-15,170.36
2023-05-16,170.36
2023-05-17,170.98
2023-05-18,173.31
2023-05-19,173.42
2023-05-20,
2023-05-21,
2023-05-22,172.47
2023-05-23,169.86
2023-05-24,170.14
2023-05-25,171.28
2023-05-26,173.69
2023-05-27,
2023-05-28,
2023-05-29,
2023-05-30,175.54
2023-05-31,175.49
2023-06-01,178.3
2023-06-02,179.16
2023-06-03,
2023-06-04,
2023-06-05,177.8
2023-06-06,177.43
2023-06-07,176.06
2023-06-08,178.78
2023-06-09,179.17
2023-06-10,
2023-06-11,
2023-06-12,181.97
2023-06-13,181.49
2023-06-14,182.13
2023-06-15,184.17
2023-06-16,183.09
2023-06-17,
2023-06-18,
2023-06-19,
2023-06-20,183.18
2023-06-21,182.14
2023-06-22,185.15
2023-06-23,184.83
2023-06-24,
2023-06-25,
2023-06-26,183.43
2023-06-27,186.2
2023-06-28,187.37
2023-06-29,187.71
2023-06-30,192.05
2023-07-01,
2023-07-02,
2023-07-03,190.55
2023-07-04,
2023-07-05,189.43
2023-07-06,189.91
2023-07-07,188.79
2023-07-08,
2023-07-09,
2023-07-10,186.74
