Symbol,n_change,n_gain,gain_ratio,relative_change,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean,start_date,end_date,date_trailing_end
UAL,380,195,0.51,1.25,60,35,0.58,0.3975155279503104,0.7861,205,2024-01-02,2025-07-10,2025-04-14
PINS,380,179,0.47,-0.010000000000000009,60,31,0.52,0.39436619718309873,0.7788,206,2024-01-02,2025-07-10,2025-04-14
APTV,380,191,0.5,-0.21999999999999997,60,33,0.55,0.3928571428571428,0.7765,207,2024-01-02,2025-07-10,2025-04-14
KKR,380,209,0.55,0.78,60,39,0.65,0.390625,0.7735,208,2024-01-02,2025-07-10,2025-04-14
THC,380,204,0.54,1.2799999999999998,60,40,0.67,0.3902439024390243,0.7729,209,2024-01-02,2025-07-10,2025-04-14
FTI,380,213,0.56,0.78,60,35,0.58,0.390625,0.7726,210,2024-01-02,2025-07-10,2025-04-14
PWR,380,206,0.54,0.8200000000000001,60,37,0.62,0.38931297709923673,0.7705,211,2024-01-02,2025-07-10,2025-04-14
KLAC,380,214,0.56,0.6799999999999999,60,37,0.62,0.38842975206611574,0.7688,212,2024-01-02,2025-07-10,2025-04-14
URI,380,197,0.52,0.47,60,39,0.65,0.3867924528301885,0.766,213,2024-01-02,2025-07-10,2025-04-14
GCI,380,183,0.48,0.6599999999999999,60,33,0.55,0.3833333333333333,0.7579,214,2024-01-02,2025-07-10,2025-04-14
ADI,380,196,0.52,0.30000000000000004,60,33,0.55,0.38297872340425543,0.7572,215,2024-01-02,2025-07-10,2025-04-14
