Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
ALBAX,2020-01-02,2025-08-15,1005,531,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ALB,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
ALAFX,2020-01-02,2025-08-15,1005,539,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
AKRSX,2020-01-02,2025-08-15,1005,522,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AKRIX,2020-01-02,2025-08-15,1005,524,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AKREX,2020-01-02,2025-08-15,1005,522,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AKO-A,2020-01-02,2025-08-15,1005,416,0.41,,2025-06-20,40,0,0.0,0.0,0.0,32
AKAM,2020-01-02,2025-08-15,1005,545,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
AJG,2020-01-02,2025-08-15,1005,562,0.56,,2025-06-20,40,0,0.0,0.0,0.0,32
AIZ,2020-01-02,2025-08-15,1005,546,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
AIVGX,2020-01-02,2025-08-15,1005,503,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AIVFX,2020-01-02,2025-08-15,1005,505,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AIVEX,2020-01-02,2025-08-15,1005,507,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AIVCX,2020-01-02,2025-08-15,1005,503,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AMBA,2020-01-02,2025-08-15,1005,511,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AMAT,2020-01-02,2025-08-15,1005,524,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AMAGX,2020-01-02,2025-08-15,1005,531,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ALZFX,2020-01-02,2025-08-15,1005,541,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ALV,2020-01-02,2025-08-15,1005,528,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ALTFX,2020-01-02,2025-08-15,1005,538,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ALLY,2020-01-02,2025-08-15,1005,501,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ALLT,2020-01-02,2025-08-15,1005,451,0.45,,2025-06-20,40,0,0.0,0.0,0.0,32
ALLIX,2020-01-02,2025-08-15,1005,546,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ALLE,2020-01-02,2025-08-15,1005,514,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
ALL,2020-01-02,2025-08-15,1005,517,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
ALKS,2020-01-02,2025-08-15,1005,499,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ALK,2020-01-02,2025-08-15,1005,491,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
ALGYX,2020-01-02,2025-08-15,1005,538,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ALGRX,2020-01-02,2025-08-15,1005,539,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ALGN,2020-01-02,2025-08-15,1005,478,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
AMZN,2020-01-02,2025-08-15,1005,521,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AMWD,2020-01-02,2025-08-15,1005,518,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AMT,2020-01-02,2025-08-15,1005,501,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AMPX,2020-01-02,2025-08-15,324,143,0.44,,2025-06-20,40,0,0.0,0.0,0.0,32
AMPH,2020-01-02,2025-08-15,1005,533,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AMP,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AMLX,2020-01-02,2025-08-15,496,250,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AMKR,2020-01-02,2025-08-15,1005,511,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AMIGX,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AMGN,2020-01-02,2025-08-15,1005,493,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
AMG,2020-01-02,2025-08-15,1005,515,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AME,2020-01-02,2025-08-15,1005,545,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
AMD,2020-01-02,2025-08-15,1005,501,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AMCX,2020-01-02,2025-08-15,1005,477,0.47,,2025-06-20,40,0,0.0,0.0,0.0,32
AMCR,2020-01-02,2025-08-15,1005,501,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
AMBC,2020-01-02,2025-08-15,1005,492,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
APA,2020-01-02,2025-08-15,1005,512,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AOS,2020-01-02,2025-08-15,1005,508,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AON,2020-01-02,2025-08-15,1005,525,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
AOD,2020-01-02,2025-08-15,1005,499,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
ANVS,2020-01-02,2025-08-15,987,477,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
ANOYX,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ANORX,2020-01-02,2025-08-15,1005,527,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
ANONX,2020-01-02,2025-08-15,1005,530,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ANOIX,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ANOHX,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ANOGX,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ANODX,2020-01-02,2025-08-15,1005,531,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ANOAX,2020-01-02,2025-08-15,1005,526,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
ANIK,2020-01-02,2025-08-15,1005,489,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
ANGO,2020-01-02,2025-08-15,1005,473,0.47,,2025-06-20,40,0,0.0,0.0,0.0,32
ANF,2020-01-02,2025-08-15,1005,532,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
APHJX,2020-01-02,2025-08-15,1005,506,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
APHGX,2020-01-02,2025-08-15,1005,502,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
APHDX,2020-01-02,2025-08-15,984,508,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
APH,2020-01-02,2025-08-15,1005,531,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
APGZX,2020-01-02,2025-08-15,1005,545,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
APGYX,2020-01-02,2025-08-15,1005,545,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
APGCX,2020-01-02,2025-08-15,1005,541,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
APGAX,2020-01-02,2025-08-15,1005,543,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
APFDX,2020-01-02,2025-08-15,1005,511,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APDYX,2020-01-02,2025-08-15,1005,518,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
APDTX,2020-01-02,2025-08-15,1005,514,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APDKX,2020-01-02,2025-08-15,1005,531,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
APDJX,2020-01-02,2025-08-15,1005,508,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APDGX,2020-01-02,2025-08-15,1005,503,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
APDDX,2020-01-02,2025-08-15,984,503,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APD,2020-01-02,2025-08-15,1005,532,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
ARE,2020-01-02,2025-08-15,1005,519,0.52,,2025-06-20,40,0,0.0,0.0,0.0,32
ARCC,2020-01-02,2025-08-15,1005,538,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
ARAY,2020-01-02,2025-08-15,1005,473,0.47,,2025-06-20,40,0,0.0,0.0,0.0,32
AQN,2020-01-02,2025-08-15,1005,508,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APYX,2020-01-02,2025-08-15,1005,473,0.47,,2025-06-20,40,0,0.0,0.0,0.0,32
APTV,2020-01-02,2025-08-15,1005,502,0.5,,2025-06-20,40,0,0.0,0.0,0.0,32
APSRX,2020-01-02,2025-08-15,1005,515,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APSGX,2020-01-02,2025-08-15,1005,517,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APP,2020-01-02,2025-08-15,682,348,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
APO,2020-01-02,2025-08-15,1005,542,0.54,,2025-06-20,40,0,0.0,0.0,0.0,32
APLE,2020-01-02,2025-08-15,1005,482,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
APLD,2020-01-02,2025-08-15,430,206,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
