Symbol,n_change,n_gain,gain_ratio,relative_change,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
APYX,406,175,0.43,-0.18999999999999995,60,31,0.52,0.47272727272727266,0.9313,64
AMLX,406,203,0.5,-0.47,60,31,0.52,0.4722222222222223,0.9303,65
PLTR,406,220,0.54,9.69,60,36,0.6,0.47042640990371387,0.9287,66
SNDX,406,200,0.49,-0.28,60,33,0.55,0.4693877551020409,0.9256,67
UPST,406,197,0.49,0.6499999999999999,60,34,0.57,0.4601769911504425,0.9081,68
ELF,406,202,0.5,-0.17000000000000004,60,35,0.58,0.45614035087719307,0.9005,69
POWL,406,210,0.52,1.8399999999999999,60,32,0.53,0.45641025641025634,0.9,70
AXTI,406,184,0.45,-0.17000000000000004,60,32,0.53,0.45614035087719307,0.8995,71
VC,406,188,0.46,-0.040000000000000036,60,31,0.52,0.45454545454545436,0.896,72
QUBT,406,174,0.43,16.21,60,27,0.45,0.45354729729729737,0.8921,73
HPP,406,181,0.45,-0.71,60,33,0.55,0.44999999999999973,0.8879,74
EL,406,193,0.48,-0.35,60,34,0.57,0.4444444444444444,0.8774,75
CRNC,406,184,0.45,-0.38,60,30,0.5,0.4418604651162792,0.8709,76
ETSY,406,206,0.51,-0.18000000000000005,60,35,0.58,0.4385964912280702,0.8663,77
IVZ,406,218,0.54,0.28,60,35,0.58,0.4382022471910112,0.8656,78
BYON,406,165,0.41,-0.6699999999999999,60,27,0.45,0.4347826086956521,0.8558,79
FOR,406,195,0.48,-0.17000000000000004,60,30,0.5,0.4310344827586208,0.8499,80
DISPF,406,40,0.1,-12.12,60,2,0.03,0.5316804407713498,0.84,81
NCLH,406,212,0.52,0.33000000000000007,60,35,0.58,0.4148936170212767,0.8201,82
OSK,406,210,0.52,0.33000000000000007,60,30,0.5,0.4148936170212767,0.8185,83
EBAY,406,224,0.55,1.3599999999999999,60,35,0.58,0.4131736526946108,0.8167,84
DINRF,406,48,0.12,-10.04,60,6,0.1,0.43492063492063493,0.8111,85
IOVA,406,179,0.44,-0.69,60,29,0.48,0.40909090909090917,0.8068,86
BWMX,406,182,0.45,0.08000000000000007,60,31,0.52,0.4025974025974026,0.7949,87
REVG,406,210,0.52,2.48,60,32,0.53,0.39759036144578297,0.7854,88
ADTTF,406,48,0.12,1.0899999999999999,60,5,0.08,0.4217687074829932,0.7779,89
ASYS,406,184,0.45,0.16999999999999993,60,30,0.5,0.3928571428571428,0.7756,90
EFXT,406,215,0.53,1.1800000000000002,60,34,0.57,0.3885350318471339,0.7683,91
SPTN,406,196,0.48,0.17999999999999994,60,26,0.43,0.388235294117647,0.765,92
IQV,406,194,0.48,-0.17000000000000004,60,33,0.55,0.3833333333333333,0.7579,93
DHI,406,206,0.51,0.1200000000000001,60,34,0.57,0.3827160493827162,0.7569,94
ACLS,406,194,0.48,-0.35,60,31,0.52,0.38297872340425543,0.7566,95
NVMI,406,208,0.51,0.8799999999999999,60,34,0.57,0.38235294117647034,0.7562,96
TER,406,205,0.5,0.050000000000000044,60,29,0.48,0.381578947368421,0.7532,97
MNMD,406,195,0.48,1.65,60,31,0.52,0.38020833333333326,0.7512,98
UAL,406,210,0.52,1.48,60,34,0.57,0.37777777777777777,0.7473,99
SA,406,204,0.5,0.4099999999999999,60,36,0.6,0.3689320388349513,0.7304,100
NVDA,406,227,0.56,2.75,60,37,0.62,0.3686131386861313,0.73,101
BILI,406,204,0.5,1.1400000000000001,60,34,0.57,0.36305732484076425,0.7184,102
GLW,406,222,0.55,1.23,60,33,0.55,0.3597560975609757,0.7118,103
NUVB,406,183,0.45,0.75,60,29,0.48,0.3565891472868217,0.7045,104
CCL,406,210,0.52,0.72,60,33,0.55,0.35433070866141736,0.7011,105
TPB,406,222,0.55,2.82,60,33,0.55,0.34982332155477014,0.6923,106
LPSN,406,171,0.42,-0.73,60,27,0.45,0.3500000000000001,0.691,107
GHM,406,212,0.52,1.58,60,32,0.53,0.34375,0.6802,108
INCY,406,217,0.53,0.33000000000000007,60,33,0.55,0.3434343434343434,0.6798,109
AVGO,406,220,0.54,1.88,60,37,0.62,0.3395348837209302,0.6729,110
CIA,406,207,0.51,0.8700000000000001,60,30,0.5,0.33571428571428585,0.664,111
LVS,406,211,0.52,0.08000000000000007,60,33,0.55,0.33333333333333326,0.66,112
NBR,406,195,0.48,-0.6,60,32,0.53,0.3333333333333335,0.6598,113
OPI,406,142,0.35,-0.96,60,17,0.28,0.3333333333333335,0.6538,114
LPG,406,193,0.48,-0.18999999999999995,60,29,0.48,0.32786885245901654,0.6484,115
SRAD,406,228,0.56,1.81,60,36,0.6,0.32547169811320753,0.6451,116
WBD,406,217,0.53,0.020000000000000018,60,34,0.57,0.3246753246753247,0.6432,117
NEM,406,222,0.55,0.76,60,36,0.6,0.32330827067669166,0.6409,118
AES,406,203,0.5,-0.26,60,35,0.58,0.3214285714285714,0.637,119
KGC,406,228,0.56,2.33,60,34,0.57,0.3214285714285714,0.6368,120
RCL,406,224,0.55,1.6400000000000001,60,36,0.6,0.32000000000000006,0.6344,121
TILE,406,202,0.5,1.12,60,31,0.52,0.31677018633540377,0.6271,122
REX,406,203,0.5,0.16999999999999993,60,38,0.63,0.3146067415730336,0.624,123
URI,406,210,0.52,0.6299999999999999,60,36,0.6,0.314516129032258,0.6236,124
TRIP,406,204,0.5,-0.16000000000000003,60,26,0.43,0.3125,0.6176,125
RUN,406,191,0.47,-0.28,60,31,0.52,0.30909090909090886,0.6121,126
EXPE,406,214,0.53,0.3999999999999999,60,34,0.57,0.30841121495327095,0.6113,127
BTI,406,239,0.59,1.17,60,41,0.68,0.30722891566265065,0.6099,128
NUE,406,203,0.5,-0.15000000000000002,60,33,0.55,0.3076923076923077,0.6097,129
IDXX,406,198,0.49,0.18999999999999995,60,32,0.53,0.3076923076923075,0.6095,130
Z,406,209,0.51,0.49,60,37,0.62,0.3070175438596492,0.609,131
SIG,406,199,0.49,-0.18999999999999995,60,35,0.58,0.306451612903226,0.6076,132
PHM,406,203,0.5,0.28,60,32,0.53,0.30612244897959195,0.6064,133
MTCH,406,204,0.5,0.07000000000000006,60,34,0.57,0.30487804878048785,0.6043,134
PDS,406,202,0.5,0.030000000000000027,60,30,0.5,0.30379746835443044,0.6015,135
IHS,406,188,0.46,0.5900000000000001,60,33,0.55,0.30327868852459017,0.601,136
VTOL,406,208,0.51,0.3400000000000001,60,35,0.58,0.30097087378640786,0.5968,137
RCKY,406,194,0.48,-0.050000000000000044,60,30,0.5,0.3013698630136985,0.5967,138
VST,406,232,0.57,4.25,60,32,0.53,0.29950495049504955,0.5935,139
CAMT,406,225,0.55,0.26,60,39,0.65,0.2989690721649485,0.5934,140
URBN,406,208,0.51,1.17,60,27,0.45,0.29940119760479034,0.5922,141
RIOT,406,188,0.46,-0.26,60,33,0.55,0.29824561403508776,0.5911,142
DBD,406,219,0.54,1.1800000000000002,60,36,0.6,0.29761904761904767,0.5904,143
MLKN,406,194,0.48,-0.16000000000000003,60,28,0.47,0.29230769230769216,0.5786,144
DLTR,406,201,0.5,-0.19999999999999996,60,33,0.55,0.2903225806451615,0.5756,145
SHG,406,206,0.51,0.69,60,34,0.57,0.2900763358778624,0.5752,146
ULTA,406,197,0.49,0.07000000000000006,60,35,0.58,0.28915662650602414,0.5736,147
THRM,406,181,0.45,-0.32999999999999996,60,31,0.52,0.28846153846153855,0.5716,148
ANF,406,200,0.49,0.030000000000000027,60,31,0.52,0.28749999999999987,0.5697,149
VRT,406,231,0.57,1.92,60,33,0.55,0.28634361233480177,0.5678,150
LOB,406,203,0.5,-0.22999999999999998,60,36,0.6,0.28333333333333344,0.5622,151
AMKR,406,204,0.5,-0.22999999999999998,60,32,0.53,0.28333333333333344,0.5617,152
JMIGX,406,209,0.51,0.27,60,34,0.57,0.2828282828282829,0.561,153
NVRI,406,210,0.52,0.09000000000000008,60,34,0.57,0.2823529411764707,0.5601,154
CUBI,406,205,0.5,0.17999999999999994,60,30,0.5,0.28260869565217384,0.5599,155
VTRS,406,197,0.49,0.0,60,33,0.55,0.28205128205128194,0.5593,156
DOCS,406,216,0.53,1.2799999999999998,60,36,0.6,0.2808988764044942,0.5574,157
CDXS,406,193,0.48,-0.040000000000000036,60,31,0.52,0.28,0.555,158
FIKGX,406,221,0.54,0.8,60,36,0.6,0.27659574468085113,0.549,159
NKE,406,198,0.49,-0.26,60,29,0.48,0.27586206896551735,0.5465,160
APH,406,227,0.56,1.2799999999999998,60,39,0.65,0.2737430167597763,0.5437,161
HBI,406,193,0.48,0.43999999999999995,60,24,0.4,0.2743362831858407,0.5425,162
JMCGX,406,209,0.51,0.26,60,34,0.57,0.2727272727272727,0.5411,163
ANVS,406,182,0.45,-0.86,60,31,0.52,0.27272727272727293,0.5407,164
FELTX,406,221,0.54,0.78,60,36,0.6,0.2714285714285716,0.5388,165
TEL,406,217,0.53,0.5,60,37,0.62,0.27118644067796627,0.5384,166
ILMN,406,201,0.5,-0.25,60,35,0.58,0.27118644067796627,0.5382,167
AX,406,201,0.5,0.6000000000000001,60,33,0.55,0.26984126984127,0.5353,168
FELAX,406,221,0.54,0.79,60,36,0.6,0.26950354609929095,0.535,169
FSELX,406,221,0.54,0.79,60,36,0.6,0.26950354609929095,0.535,169
FELIX,406,221,0.54,0.79,60,36,0.6,0.26950354609929095,0.535,169
MRVL,406,212,0.52,0.32000000000000006,60,33,0.55,0.26923076923076916,0.5341,172
TPR,406,217,0.53,1.7400000000000002,60,37,0.62,0.2685185185185186,0.5332,173
BWA,406,216,0.53,0.17999999999999994,60,31,0.52,0.26881720430107503,0.533,174
DDD,406,169,0.42,-0.6699999999999999,60,26,0.43,0.26923076923076916,0.5329,175
FELCX,406,221,0.54,0.76,60,36,0.6,0.26618705035971235,0.5285,176
MU,406,215,0.53,0.48,60,34,0.57,0.2649572649572651,0.5258,177
TBBK,406,219,0.54,0.72,60,36,0.6,0.2647058823529411,0.5255,178
DKNG,406,213,0.52,0.3400000000000001,60,35,0.58,0.26415094339622636,0.5243,179
LNC,406,224,0.55,0.6399999999999999,60,34,0.57,0.2615384615384615,0.5191,180
IX,406,214,0.53,0.3999999999999999,60,38,0.63,0.26126126126126104,0.519,181
CHRW,406,206,0.51,0.44999999999999996,60,30,0.5,0.26086956521739135,0.5172,182
BBVA,406,228,0.56,1.2400000000000002,60,34,0.57,0.258426966292135,0.513,183
MHK,406,202,0.5,0.21999999999999997,60,32,0.53,0.25773195876288657,0.5113,184
IDCC,406,220,0.54,1.5899999999999999,60,31,0.52,0.25728155339805814,0.5103,185
TARS,406,201,0.5,1.69,60,30,0.5,0.2570093457943925,0.5097,186
INGN,406,189,0.47,0.32000000000000006,60,26,0.43,0.2571428571428571,0.5092,187
CMCM,406,198,0.49,1.31,60,31,0.52,0.25543478260869557,0.5067,188
LEN,406,203,0.5,-0.06000000000000005,60,32,0.53,0.2533333333333332,0.5027,189
TSM,406,218,0.54,1.4,60,33,0.55,0.25,0.4962,190
RMAX,406,186,0.46,-0.30000000000000004,60,33,0.55,0.24999999999999978,0.4962,190
PBPB,406,190,0.47,0.25,60,30,0.5,0.25,0.4959,192
AEO,406,194,0.48,-0.35,60,27,0.45,0.25,0.4954,193
RYCCX,406,230,0.57,0.71,60,36,0.6,0.24817518248175174,0.493,194
DAL,406,204,0.5,0.51,60,31,0.52,0.24793388429752072,0.4919,195
VAL,406,201,0.5,-0.33999999999999997,60,34,0.57,0.24528301886792447,0.4871,196
DSCSY,406,199,0.49,0.21999999999999997,60,33,0.55,0.24489795918367352,0.4862,197
RYVLX,406,230,0.57,0.73,60,36,0.6,0.24460431654676262,0.4859,198
UOPIX,406,227,0.56,0.73,60,36,0.6,0.24460431654676262,0.4859,198
RYVYX,406,230,0.57,0.73,60,36,0.6,0.24460431654676262,0.4859,198
SYF,406,219,0.54,0.94,60,34,0.57,0.2435897435897436,0.4837,201
ADM,406,201,0.5,-0.13,60,28,0.47,0.24285714285714288,0.4815,202
GS,406,223,0.55,0.95,60,34,0.57,0.2420382165605095,0.4807,203
BX,406,210,0.52,0.3899999999999999,60,32,0.53,0.24107142857142838,0.4785,204
UOPSX,406,226,0.56,0.7,60,36,0.6,0.24087591240875894,0.4785,204
ODC,406,208,0.51,0.75,60,29,0.48,0.24113475177304977,0.4783,206
SNPS,406,212,0.52,0.24,60,32,0.53,0.24,0.4764,207
BTE,406,193,0.48,-0.38,60,27,0.45,0.24,0.4758,208
CMI,406,220,0.54,0.71,60,38,0.63,0.23913043478260887,0.4753,209
META,406,218,0.54,1.2799999999999998,60,31,0.52,0.23913043478260843,0.4746,210
AVIR,406,183,0.45,0.09000000000000008,60,33,0.55,0.23863636363636376,0.4738,211
AMG,406,220,0.54,0.45999999999999996,60,34,0.57,0.23728813559322037,0.4713,212
HOLX,406,205,0.5,-0.06000000000000005,60,30,0.5,0.23684210526315774,0.47,213
PBI,406,196,0.48,1.7200000000000002,60,29,0.48,0.23636363636363633,0.4689,214
MGA,406,210,0.52,-0.20999999999999996,60,34,0.57,0.234375,0.4655,215
DELL,406,214,0.53,0.8999999999999999,60,32,0.53,0.23376623376623362,0.4641,216
PWP,406,208,0.51,0.8500000000000001,60,35,0.58,0.2333333333333334,0.4636,217
NOC,406,220,0.54,0.27,60,38,0.63,0.23300970873786397,0.4632,218
TMO,406,199,0.49,-0.09999999999999998,60,37,0.62,0.23287671232876717,0.4628,219
ALAFX,406,231,0.57,0.97,60,35,0.58,0.23124999999999996,0.4595,220
NMR,406,222,0.55,0.6499999999999999,60,33,0.55,0.23134328358208944,0.4595,220
ALGRX,406,231,0.57,0.97,60,35,0.58,0.23124999999999996,0.4595,220
AMPH,406,186,0.46,-0.52,60,28,0.47,0.23076923076923062,0.4578,223
RYSCX,406,216,0.53,0.3899999999999999,60,32,0.53,0.23008849557522137,0.4569,224
ALGYX,406,231,0.57,0.98,60,35,0.58,0.22981366459627317,0.4566,225
ALZFX,406,231,0.57,0.98,60,35,0.58,0.22981366459627317,0.4566,225
RFL,406,178,0.44,-0.08999999999999997,60,31,0.52,0.22972972972972983,0.4561,227
WFRD,406,204,0.5,-0.41000000000000003,60,30,0.5,0.22916666666666674,0.4549,228
SCICX,406,225,0.55,0.45999999999999996,60,37,0.62,0.2268907563025211,0.451,229
ARQT,406,201,0.5,3.92,60,32,0.53,0.22693266832917702,0.4507,230
ALCFX,406,231,0.57,0.95,60,35,0.58,0.2264150943396226,0.4499,231
CMA,406,208,0.51,0.30000000000000004,60,34,0.57,0.2264150943396226,0.4498,232
RYELX,406,217,0.53,0.4099999999999999,60,32,0.53,0.22608695652173916,0.449,233
RYSIX,406,217,0.53,0.4099999999999999,60,32,0.53,0.22608695652173916,0.449,233
RYSAX,406,216,0.53,0.4099999999999999,60,32,0.53,0.22608695652173916,0.449,233
DH,406,189,0.47,-0.62,60,34,0.57,0.22580645161290325,0.4486,236
HAS,406,218,0.54,0.74,60,36,0.6,0.22535211267605648,0.4479,237
SCIRX,406,227,0.56,0.47,60,37,0.62,0.2250000000000001,0.4473,238
APA,406,210,0.52,-0.4,60,30,0.5,0.22448979591836737,0.4456,239
COIN,406,193,0.48,1.02,60,30,0.5,0.22424242424242435,0.4452,240
APP,406,225,0.55,10.31,60,33,0.55,0.22402597402597402,0.445,241
JKS,406,191,0.47,-0.29000000000000004,60,25,0.42,0.22413793103448287,0.4443,242
IAG,406,217,0.53,2.34,60,34,0.57,0.22344322344322332,0.444,243
SLMCX,406,227,0.56,0.48,60,37,0.62,0.22314049586776852,0.4436,244
SCMIX,406,227,0.56,0.48,60,37,0.62,0.22314049586776852,0.4436,244
CCIZX,406,228,0.56,0.48,60,37,0.62,0.22314049586776852,0.4436,244
CCOYX,406,227,0.56,0.48,60,37,0.62,0.22314049586776852,0.4436,244
SAN,406,231,0.57,1.42,60,37,0.62,0.2222222222222221,0.4418,248
CFG,406,212,0.52,0.54,60,34,0.57,0.22222222222222232,0.4416,249
RPTX,406,168,0.41,-0.78,60,26,0.43,0.22222222222222232,0.4407,250
FSLR,406,200,0.49,0.15999999999999992,60,32,0.53,0.2210526315789474,0.4391,251
CWCO,406,202,0.5,-0.06000000000000005,60,33,0.55,0.22077922077922074,0.4386,252
DK,406,206,0.51,-0.10999999999999999,60,30,0.5,0.2191780821917808,0.4352,253
MFG,406,212,0.52,0.95,60,32,0.53,0.21875,0.4345,254
VECO,406,193,0.48,-0.21999999999999997,60,28,0.47,0.21875,0.4341,255
ASMVF,406,10,0.02,-0.25,60,4,0.07,0.2295081967213115,0.4341,255
RF,406,210,0.52,0.4099999999999999,60,34,0.57,0.21551724137931028,0.4283,257
TSCO,406,219,0.54,0.4099999999999999,60,31,0.52,0.21551724137931028,0.4281,258
CTM,406,183,0.45,2.95,60,28,0.47,0.2153846153846155,0.4275,259
SGTTX,406,226,0.56,0.47,60,37,0.62,0.2148760330578512,0.4273,260
CGTYX,406,227,0.56,0.47,60,37,0.62,0.2148760330578512,0.4273,260
CSGZX,406,226,0.56,0.47,60,37,0.62,0.2148760330578512,0.4273,260
HPE,406,208,0.51,0.30000000000000004,60,32,0.53,0.2149532710280373,0.427,263
DXQLX,406,233,0.57,0.7,60,36,0.6,0.2142857142857144,0.426,264
MLNK,406,194,0.48,-0.15000000000000002,60,26,0.43,0.2142857142857144,0.4251,265
GOOG,406,234,0.58,0.48,60,36,0.6,0.21311475409836067,0.4237,266
IPGP,406,214,0.53,-0.26,60,35,0.58,0.21311475409836067,0.4236,267
NIO,406,185,0.46,-0.43000000000000005,60,28,0.47,0.21276595744680837,0.4223,268
KKR,406,220,0.54,0.77,60,33,0.55,0.21232876712328763,0.4219,269
TIGR,406,193,0.48,1.63,60,28,0.47,0.21198156682027647,0.4208,270
GCI,406,193,0.48,0.78,60,31,0.52,0.2108843537414966,0.4189,271
SHTCX,406,225,0.55,0.43999999999999995,60,37,0.62,0.2100840336134453,0.4178,272
WS,406,199,0.49,0.20999999999999996,60,32,0.53,0.20999999999999996,0.4173,273
NTRS,406,217,0.53,0.56,60,31,0.52,0.20930232558139528,0.4158,274
SGTRX,406,226,0.56,0.44999999999999996,60,37,0.62,0.20833333333333326,0.4143,275
RAIL,406,202,0.5,2.19,60,24,0.4,0.20833333333333326,0.4131,276
GES,406,197,0.49,-0.36,60,33,0.55,0.2075471698113207,0.4125,277
LRCX,406,211,0.52,0.3400000000000001,60,37,0.62,0.2072072072072071,0.4121,278
BTG,406,199,0.49,0.3400000000000001,60,34,0.57,0.2072072072072071,0.4119,279
SHGTX,406,227,0.56,0.45999999999999996,60,37,0.62,0.20661157024793386,0.4109,280
TLK,406,193,0.48,-0.18000000000000005,60,29,0.48,0.2058823529411764,0.4089,281
JBGS,406,210,0.52,0.22999999999999998,60,25,0.42,0.2058823529411764,0.4084,282
STNE,406,192,0.47,-0.12,60,29,0.48,0.20547945205479445,0.4081,283
RIG,406,184,0.45,-0.53,60,28,0.47,0.20512820512820507,0.4073,284
HII,406,215,0.53,0.06000000000000005,60,35,0.58,0.20454545454545459,0.4067,285
RCUS,406,192,0.47,-0.47,60,34,0.57,0.20454545454545459,0.4066,286
GPMT,406,180,0.44,-0.47,60,29,0.48,0.20454545454545459,0.4062,287
WYNN,406,196,0.48,0.17999999999999994,60,27,0.45,0.20408163265306123,0.4051,288
GOOGL,406,231,0.57,0.48,60,36,0.6,0.2032520325203253,0.4042,289
BIPIX,406,203,0.5,-0.10999999999999999,60,31,0.52,0.20270270270270263,0.4028,290
AYI,406,208,0.51,0.55,60,29,0.48,0.20155038759689914,0.4003,291
FAST,406,205,0.5,0.6200000000000001,60,35,0.58,0.19999999999999996,0.3977,292
GCCLX,406,198,0.49,-0.09999999999999998,60,34,0.57,0.19999999999999996,0.3977,292
GCCAX,406,197,0.49,-0.09999999999999998,60,34,0.57,0.19999999999999996,0.3977,292
GCCHX,406,196,0.48,-0.09999999999999998,60,34,0.57,0.19999999999999996,0.3977,292
VNET,406,191,0.47,1.88,60,28,0.47,0.19999999999999996,0.3972,296
IONQ,406,202,0.5,2.31,60,25,0.42,0.1992753623188408,0.3954,297
MTAL,406,195,0.48,0.030000000000000027,60,29,0.48,0.1976744186046513,0.3927,298
DHX,406,180,0.44,-0.15000000000000002,60,32,0.53,0.19718309859154926,0.392,299
FGEMX,406,229,0.56,0.6499999999999999,60,36,0.6,0.19565217391304346,0.3892,300
FGDMX,406,228,0.56,0.6499999999999999,60,36,0.6,0.19565217391304346,0.3892,300
CAKE,406,206,0.51,0.8999999999999999,60,35,0.58,0.19496855345911945,0.3878,302
EZPW,406,197,0.49,0.8400000000000001,60,30,0.5,0.19480519480519476,0.3871,303
FLEX,406,213,0.52,1.15,60,32,0.53,0.19444444444444442,0.3865,304
FBMPX,406,227,0.56,0.6599999999999999,60,36,0.6,0.1942446043165469,0.3864,305
FGJMX,406,229,0.56,0.6599999999999999,60,36,0.6,0.1942446043165469,0.3864,305
FGKMX,406,228,0.56,0.6599999999999999,60,36,0.6,0.1942446043165469,0.3864,305
LGLOX,406,234,0.58,0.73,60,37,0.62,0.193103448275862,0.3842,308
LGLVX,406,235,0.58,0.73,60,37,0.62,0.193103448275862,0.3842,308
LGLFX,406,234,0.58,0.73,60,37,0.62,0.193103448275862,0.3842,308
LGLUX,406,234,0.58,0.73,60,37,0.62,0.193103448275862,0.3842,308
LGLIX,406,234,0.58,0.73,60,37,0.62,0.193103448275862,0.3842,308
BIPSX,406,205,0.5,-0.13,60,31,0.52,0.19178082191780832,0.3812,313
CAT,406,218,0.54,0.42999999999999994,60,34,0.57,0.19166666666666665,0.3812,313
E,406,223,0.55,0.1200000000000001,60,32,0.53,0.19148936170212782,0.3807,315
FGHMX,406,228,0.56,0.6299999999999999,60,36,0.6,0.18978102189781,0.3776,316
BEN,406,205,0.5,-0.06000000000000005,60,33,0.55,0.1898734177215189,0.3776,316
CSX,406,210,0.52,0.07000000000000006,60,34,0.57,0.18888888888888888,0.3757,318
LGLCX,406,235,0.58,0.7,60,37,0.62,0.18881118881118875,0.3757,318
NPSGX,406,210,0.52,0.26,60,35,0.58,0.18867924528301883,0.3753,320
FAGAX,406,238,0.59,0.6399999999999999,60,38,0.63,0.18840579710144922,0.375,321
LAUR,406,220,0.54,0.96,60,37,0.62,0.18787878787878798,0.3739,322
